parameter_index,smirks,template_value,fitted_value,trained,molecule_count,nonzero_atom_count
144,"[#6a$(*~[#7aX2,#8aX2]):1]-[#16X1,#16X2:2]",0.3273,0.0,False,0,0
145,"[#6a$(*~[#7aX2,#8aX2]):1]-[#9:2]",0.1402,0.0,False,0,0
146,"[#6a$(*~[#7aX2,#8aX2]):1]-[#17:2]",0.166,0.0,False,0,0
147,"[#6a$(*~[#7aX2,#8aX2]):1]-[#35:2]",0.2312,0.0,False,0,0
148,"[#6a$(*~[#7aX2,#8aX2]):1]-[#53:2]",0.3528,0.0,False,0,0
149,"[#6a$(*~[#7aX2,#8aX2]):1]-[#1:2]",0.1369,0.0,False,0,0
150,"[#6a$(*~[#7aX2,#8aX2]):1]:[#6a$(*~[#7aX2,#8aX2]):2]",0.0,0.0,False,0,0
151,"[#6a$(*~[#7aX2,#8aX2]):1]:[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",0.0885,0.0,False,0,0
152,"[#6a$(*~[#7aX2,#8aX2]):1]:[#7X2+0,#7X2-1ar5:2]",0.263,0.0,False,0,0
153,"[#6a$(*~[#7aX2,#8aX2]):1]:[#8X1,#8X2:2]",0.1294,0.0,False,0,0
154,"[#6a$(*~[#7aX2,#8aX2]):1]:[#16X1,#16X2:2]",0.3144,0.0,False,0,0
155,"[#6a:1]-[#6a$(*~[#7aX2,#8aX2]):2]",-0.1075,0.0,False,0,0
156,[#6a:1]-[#6a:2],0.0,0.0,False,0,0
157,"[#6a:1]-[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",-0.0452,0.0,False,0,0
158,"[#6a:1]-[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):2]",-0.0074,0.0,False,0,0
159,"[#6a:1]-[#7X4,#7X3,#7X2-1:2]",0.0816,-0.1973199950775043,True,1,2
160,"[#6a:1]-[#7X1,#7X2+1:2]",0.1877,0.0,False,0,0
161,"[#6a:1]-[#7X2+0,#7X2-1ar5:2]",0.1394,0.0,False,0,0
162,"[#6a:1]-[#8X1,#8X2:2]",0.0451,0.0,False,0,0
163,[#6a:1]-[#16X4:2],0.4445,0.0,False,0,0
164,[#6a:1]-[#16X3:2],0.4285,0.0,False,0,0
165,"[#6a:1]-[#16X1,#16X2:2]",0.2269,0.0,False,0,0
166,[#6a:1]-[#14X4:2],0.1938,0.0,False,0,0
167,[#6a:1]-[#9:2],0.0349,0.0,False,0,0
168,[#6a:1]-[#17:2],0.0784,0.0,False,0,0
169,[#6a:1]-[#35:2],0.1401,0.0,False,0,0
170,[#6a:1]-[#53:2],0.2859,0.0,False,0,0
171,[#6a:1]-[#1:2],0.0,0.0,False,0,0
172,"[#6a:1]:[#6a$(*~[#7aX2,#8aX2]):2]",-0.0653,0.0,False,0,0
173,[#6a:1]:[#6a:2],0.0,0.0,False,0,0
174,"[#6a:1]:[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",-0.0243,0.0,False,0,0
175,"[#6a:1]:[#8X1,#8X2:2]",-0.1518,0.0,False,0,0
176,"[#6a:1]:[#16X1,#16X2:2]",0.2699,0.0,False,0,0
177,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]-[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",0.0,0.30364113747594246,True,17,35
178,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]-[#7X2+0,#7X2-1ar5:2]",0.1794,0.21213657772780148,True,1333,2970
179,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]-[#8X1,#8X2:2]",0.0202,-0.03218717907487312,True,51,109
180,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]-[#16X4:2]",0.3418,-0.2125161170261269,True,31,65
181,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]-[#16X1,#16X2:2]",0.2024,-0.06697275610577616,True,3,6
182,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]-[#14X4:2]",0.1766,0.0,False,0,0
183,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]-[#9:2]",0.0561,0.0,False,0,0
184,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]-[#17:2]",0.0642,0.0,False,0,0
185,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]-[#35:2]",0.1802,-0.13713441296900203,True,1,2
186,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]-[#1:2]",-0.0497,-0.41997653007337865,True,1177,3093
187,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]=[#7X2+0,#7X2-1ar5:2]",0.1731,0.022441956734964325,True,28,58
188,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]:[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",0.0,0.0,False,0,0
189,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]:[#7X2+0,#7X2-1ar5:2]",0.1698,0.0,False,0,0
190,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]:[#8X1,#8X2:2]",0.0677,0.0,False,0,0
191,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]:[#16X1,#16X2:2]",0.1565,0.0,False,0,0
192,"[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):1]-[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",-0.0327,0.09683107406905553,True,15,30
193,"[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):1]-[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):2]",0.0,0.00719508777348145,True,62,124
194,"[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):1]-[#7X1,#7X2+1:2]",0.0235,0.0,False,0,0
195,"[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):1]-[#7X2+0,#7X2-1ar5:2]",0.1326,0.10038778355180075,True,334,695
196,"[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):1]-[#8X1,#8X2:2]",-0.0059,0.014623396204550002,True,171,342
197,"[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):1]-[#16X4:2]",0.3322,-0.12562826890368586,True,92,189
198,"[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):1]-[#16X3:2]",0.3657,0.005633624984078937,True,5,11
199,"[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):1]-[#16X1,#16X2:2]",0.1593,-0.02942731862195428,True,38,79
200,"[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):1]-[#9:2]",-0.0155,0.0,False,0,0
