parameter_index,smirks,original_value,covered_molecule_count,nonzero_atom_count
100,"[#6X3$(*=[#7,#15]):1]-[#8X1,#8X2:2]",0.1336,959,2123
101,"[#6X3$(*=[#7,#15]):1]-[#16X4:2]",0.5077,54,110
102,"[#6X3$(*=[#7,#15]):1]-[#16X3:2]",0.4296,32,64
103,"[#6X3$(*=[#7,#15]):1]-[#16X1,#16X2:2]",0.2242,1565,3606
104,"[#6X3$(*=[#7,#15]):1]-[#9:2]",0.1055,25,56
105,"[#6X3$(*=[#7,#15]):1]-[#17:2]",0.1123,154,338
106,"[#6X3$(*=[#7,#15]):1]-[#35:2]",0.1253,52,108
107,"[#6X3$(*=[#7,#15]):1]-[#53:2]",0.2752,0,0
108,"[#6X3$(*=[#7,#15]):1]-[#1:2]",0.1292,3853,9644
109,"[#6X3$(*=[#7,#15]):1]=[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",0.0547,625,1312
110,"[#6X3$(*=[#7,#15]):1]=[#7X1,#7X2+1:2]",0.1624,21,44
111,"[#6X3$(*=[#7,#15]):1]=[#7X2+0,#7X2-1ar5:2]",0.2877,8365,30164
112,"[#6X3$(*=[#8,#16]):1]-[#6X1,#6X2:2]",-0.0308,28,62
113,"[#6X3$(*=[#8,#16]):1]-[#6X3$(*=[#8,#16]):2]",0.0,151,321
114,"[#6X3$(*=[#8,#16]):1]-[#6a$(*~[#7aX2,#8aX2]):2]",-0.0895,0,0
115,"[#6X3$(*=[#8,#16]):1]-[#6a:2]",0.0206,0,0
116,"[#6X3$(*=[#8,#16]):1]-[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",-0.0432,116,234
117,"[#6X3$(*=[#8,#16]):1]-[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):2]",0.067,6932,25340
118,"[#6X3$(*=[#8,#16]):1]-[#7X1,#7X2+1:2]",0.007,0,0
119,"[#6X3$(*=[#8,#16]):1]-[#7X2+0,#7X2-1ar5:2]",0.1394,462,965
120,"[#6X3$(*=[#8,#16]):1]-[#8X1,#8X2:2]",0.0901,2775,6446
121,"[#6X3$(*=[#8,#16]):1]-[#16X4:2]",0.484,4,8
122,"[#6X3$(*=[#8,#16]):1]-[#16X3:2]",0.4319,1,2
